"sequence_number"|"sale_ndc11"|"sale_ndc11_clean"|"sale_proprietary_name"|"sale_labeler"|"start_date"|"end_date"|"sale_gtin"|"sale_last_update"|"use_ndc11"|"no_use_ndc"|"use_gtin"|"use_last_update"|"cvx_code"|"cvx_description"|"mvx_code"
"307"|"58160-0885-52"|"58160088552"|"FLUARIX QUADRIVALENT"|"GlaxoSmithKline Biologicals SA"|"07/02/2020"|"06/30/2021"|""|"07/06/2021"|"58160-0885-41"|"False"|""|"07/06/2021"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SKB"
"308"|"58160-0887-52"|"58160088752"|"FLUARIX QUADRIVALENT"|"GlaxoSmithKline Biologicals SA"|"07/02/2021"|""|""|"07/20/2021"|"58160-0887-41"|"False"|""|"07/19/2021"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SKB"
"309"|"58160-0896-52"|"58160089652"|"FLUARIX QUADRIVALENT"|"GlaxoSmithKline Biologicals SA"|"07/02/2019"|"06/30/2020"|""|"07/14/2020"|"58160-0896-41"|"False"|""|"07/13/2020"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SKB"
"310"|"58160-0898-52"|"58160089852"|"FLUARIX QUADRIVALENT"|"GlaxoSmithKline Biologicals SA"|"06/29/2018"|"06/30/2019"|"00358160898525"|"07/16/2019"|"58160-0898-41"|"False"|"10358160898416"|"07/16/2019"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SKB"
"311"|"58160-0900-52"|"58160090052"|"FLUARIX QUADRIVALENT"|"GlaxoSmithKline Biologicals SA"|"07/01/2013"|"06/30/2014"|""|"12/07/2017"|"58160-0900-41"|"False"|""|"11/20/2017"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SKB"
"312"|"58160-0901-52"|"58160090152"|"FLUARIX QUADRIVALENT"|"GlaxoSmithKline Biologicals SA"|"07/01/2014"|"06/30/2015"|"00358160901522"|"05/30/2018"|"58160-0901-41"|"False"|"00358160901416"|"05/30/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SKB"
"313"|"58160-0903-52"|"58160090352"|"FLUARIX QUADRIVALENT"|"GlaxoSmithKline Biologicals SA"|"07/01/2015"|"06/30/2016"|""|"05/30/2018"|"58160-0903-41"|"False"|"00358160903410"|"05/30/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SKB"
"314"|"58160-0905-52"|"58160090552"|"FLUARIX QUADRIVALENT"|"GlaxoSmithKline Biologicals SA"|"07/01/2016"|"06/30/2017"|""|"07/11/2018"|"58160-0905-41"|"False"|""|"07/05/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SKB"
"315"|"58160-0907-52"|"58160090752"|"FLUARIX QUADRIVALENT"|"GlaxoSmithKline Biologicals SA"|"07/07/2017"|"06/30/2018"|""|"07/09/2018"|"58160-0907-41"|"False"|""|"07/09/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"SKB"
"316"|"58160-0955-09"|"58160095509"|"Menveo"|"GlaxoSmithKline Biologicals SA"|"03/01/2017"|""|"00358160955099"|"07/13/2018"|"58160-0958-01"|"False"|"10358160958011"|"05/06/2019"|"136"|"Meningococcal MCV4O"|"SKB"
"317"|"58160-0955-09"|"58160095509"|"Menveo"|"GlaxoSmithKline Biologicals SA"|"03/01/2017"|""|"00358160955099"|"07/13/2018"|"58160-0959-01"|"False"|"10358160959018"|"05/06/2019"|"136"|"Meningococcal MCV4O"|"SKB"
"318"|"58160-0964-12"|"58160096412"|"RabAvert"|"GlaxoSmithKline Biologicals SA"|"12/19/2016"|""|"00358160964121"|"04/05/2021"|"58160-0966-01"|"False"|""|"02/06/2020"|"176"|"Rabies - IM fibroblast culture"|"SKB"
"319"|"58160-0964-12"|"58160096412"|"RabAvert"|"GlaxoSmithKline Biologicals SA"|"12/19/2016"|""|"00358160964121"|"04/05/2021"|"58160-0966-12"|"False"|""|"07/13/2018"|"176"|"Rabies - IM fibroblast culture"|"SKB"
"320"|"58160-0976-06"|"58160097606"|"Bexsero"|"GlaxoSmithKline Biologicals SA"|"12/01/2016"|""|"00358160976063"|"01/28/2021"|"58160-0976-02"|"False"|"10358160976022"|"01/26/2021"|"163"|"meningococcal B, OMV"|"SKB"
"321"|"58160-0976-20"|"58160097620"|"Bexsero"|"GlaxoSmithKline Biologicals SA"|"12/01/2016"|""|"00358160976209"|"01/28/2021"|"58160-0976-02"|"False"|"10358160976022"|"01/26/2021"|"163"|"meningococcal B, OMV"|"SKB"
"322"|"59267-1000-02"|"59267100002"|"Pfizer-BioNTech Covid-19 Vaccine"|"Pfizer Manufacturing Belgium NV"|"12/12/2020"|""|""|"04/13/2021"|"59267-1000-01"|"False"|""|"04/13/2021"|"208"|"COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose"|"PFR"
"323"|"59267-1000-03"|"59267100003"|"Pfizer-BioNTech Covid-19 Vaccine"|"Pfizer Manufacturing Belgium NV"|"12/12/2020"|""|""|"04/13/2021"|"59267-1000-01"|"False"|""|"04/13/2021"|"208"|"COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose"|"PFR"
"324"|"59676-0580-15"|"59676058015"|"Janssen COVID-19 Vaccine"|"Janssen Products, LP"|"02/01/2021"|""|""|"01/25/2021"|"59676-0580-05"|"False"|""|"01/25/2021"|"212"|"COVID-19 vaccine, vector-nr, rS-Ad26, PF, 0.5 mL"|"JSN"
"325"|"62195-0051-01"|"62195005101"|"Ixiaro"|"Vetter Pharma Fertigung GmbH & Co. KG"|"11/23/2020"|""|""|"12/29/2020"|"62195-0051-01"|"True"|""|"06/15/2018"|"134"|"Japanese Encephalitis IM"|"VAL"
"326"|"62195-0051-10"|"62195005110"|"Ixiaro"|"Vetter Pharma Fertigung GmbH & Co. KG"|"03/30/2009"|"11/23/2020"|""|"12/29/2020"|"62195-0051-01"|"False"|""|"06/15/2018"|"134"|"Japanese Encephalitis IM"|"VAL"
"327"|"62577-0613-01"|"62577061301"|"Flucelvax"|"Novartis Vaccines and Diagnostics, Inc."|"07/01/2014"|"06/30/2015"|""|"05/30/2018"|"62577-0613-11"|"False"|""|"05/30/2018"|"153"|"Influenza, injectable, MDCK, preservative free"|"NOV"
"328"|"62577-0614-01"|"62577061401"|"Flucelvax"|"Novartis Vaccines and Diagnostics, Inc."|"07/01/2014"|"06/30/2016"|""|"07/06/2018"|"62577-0614-11"|"False"|""|"07/05/2018"|"153"|"Influenza, injectable, MDCK, preservative free"|"NOV"
"329"|"63361-0243-10"|"63361024310"|"VAXELIS"|"MSP Vaccine Company"|"04/10/2020"|""|""|"05/26/2020"|"63361-0243-58"|"False"|""|"05/26/2020"|"146"|"DTaP,IPV,Hib,HepB"|"MSP"
"330"|"63361-0243-15"|"63361024315"|"VAXELIS"|"MSP Vaccine Company"|"10/01/2020"|""|""|"12/03/2020"|"63361-0243-88"|"False"|""|"12/03/2020"|"146"|"DTaP,IPV,Hib,HepB"|"MSP"
"331"|"63361-0245-10"|"63361024510"|"VAXELIS"|"MCM Vaccine Co."|"12/21/2018"|"04/10/2020"|""|"04/21/2020"|"63361-0245-58"|"False"|""|"04/21/2020"|"146"|"DTaP,IPV,Hib,HepB"|"PMC"
"332"|"63851-0501-01"|"63851050101"|"RabAvert"|"Novartis Vaccines and Diagnostics GmbH"|"10/20/1997"|"01/19/2017"|""|"06/08/2018"|"63851-0511-11"|"False"|"00363851511119"|"04/15/2020"|"176"|"Rabies - IM fibroblast culture"|"NOV"
"333"|"63851-0501-02"|"63851050102"|"RabAvert"|"GSK Vaccines GmbH"|"07/08/2014"|"03/31/2020"|"00363851501028"|"04/16/2020"|"63851-0511-11"|"False"|"00363851511119"|"04/15/2020"|"176"|"Rabies - IM fibroblast culture"|"NOV"
"334"|"63851-0612-01"|"63851061201"|"Flucelvax"|"Novartis Vaccines and Diagnostics GmbH"|"08/30/2013"|"06/30/2014"|""|"05/30/2018"|"63851-0612-11"|"False"|""|"05/30/2018"|"153"|"Influenza, injectable, MDCK, preservative free"|"NOV"
"335"|"63851-0613-01"|"63851061301"|"FLUCELVAX"|"Novartis Vaccines and Diagnostics GmbH"|"07/01/2014"|"06/30/2015"|""|"05/30/2018"|"63851-0613-11"|"False"|""|"05/30/2018"|"153"|"Influenza, injectable, MDCK, preservative free"|"NOV"
"336"|"64678-0211-01"|"64678021101"|"BioThrax"|"Emergent BioDefense Operations Lansing, LLC"|"11/04/1970"|""|""|"12/07/2017"|"64678-0211-05"|"False"|""|"11/20/2017"|"24"|"anthrax"|"MIP"
"337"|"66019-0107-01"|"66019010701"|"FLUMIST"|"MedImmune, LLC"|"07/17/2009"|"04/19/2010"|""|"07/13/2018"|"66019-0107-01"|"True"|""|"02/13/2018"|"111"|"influenza, live, intranasal"|"MED"
"338"|"66019-0108-10"|"66019010810"|"FLUMIST"|"MedImmune, LLC"|"07/22/2010"|"06/30/2011"|""|"07/13/2018"|"66019-0108-01"|"False"|""|"01/29/2018"|"111"|"influenza, live, intranasal"|"MED"
"339"|"66019-0109-10"|"66019010910"|"FLUMIST"|"MedImmune, LLC"|"06/30/2011"|"07/19/2012"|""|"07/13/2018"|"66019-0109-01"|"False"|""|"01/29/2018"|"111"|"influenza, live, intranasal"|"MED"
"340"|"66019-0110-10"|"66019011010"|"FluMist"|"MedImmune, LLC"|"08/01/2012"|"07/18/2013"|""|"07/13/2018"|"66019-0110-01"|"False"|""|"11/20/2017"|"111"|"influenza, live, intranasal"|"MED"
"341"|"66019-0200-10"|"66019020010"|"Influenza A H1N1 Intranasal"|"MedImmune, LLC"|"10/01/2009"|"04/13/2010"|""|"07/13/2018"|"66019-0200-01"|"False"|""|"01/29/2018"|"125"|"Novel Influenza-H1N1-09, nasal"|"MED"
"342"|"66019-0300-10"|"66019030010"|"FluMist Quadrivalent"|"MedImmune, LLC"|"07/15/2013"|"06/30/2014"|""|"07/13/2018"|"66019-0300-01"|"False"|""|"05/30/2018"|"149"|"influenza, live, intranasal, quadrivalent"|"MED"
"343"|"66019-0301-10"|"66019030110"|"FluMist Quadrivalent"|"MedImmune, LLC"|"07/01/2014"|"06/30/2015"|""|"07/12/2018"|"66019-0301-01"|"False"|""|"05/30/2018"|"149"|"influenza, live, intranasal, quadrivalent"|"MED"
"344"|"66019-0302-10"|"66019030210"|"FluMist Quadrivalent"|"MedImmune, LLC"|"07/15/2013"|"06/30/2016"|""|"07/13/2018"|"66019-0302-01"|"False"|""|"05/30/2018"|"149"|"influenza, live, intranasal, quadrivalent"|"MED"
"345"|"66019-0303-10"|"66019030310"|"FluMist Quadrivalent"|"MedImmune, LLC"|"07/25/2016"|"06/30/2017"|""|"07/12/2018"|"66019-0303-01"|"False"|""|"05/30/2018"|"149"|"influenza, live, intranasal, quadrivalent"|"MED"
"346"|"66019-0304-10"|"66019030410"|"FluMist Quadrivalent"|"MedImmune, LLC"|"08/25/2017"|"06/30/2018"|""|"08/20/2018"|"66019-0304-01"|"False"|""|"08/20/2018"|"149"|"influenza, live, intranasal, quadrivalent"|"MED"
"347"|"66019-0305-10"|"66019030510"|"FluMist Quadrivalent"|"MedImmune, LLC"|"08/10/2018"|"04/30/2019"|""|"05/21/2019"|"66019-0305-01"|"False"|""|"05/21/2019"|"149"|"influenza, live, intranasal, quadrivalent"|"MED"
"348"|"66019-0306-10"|"66019030610"|"FluMist Quadrivalent"|"MedImmune, LLC"|"09/05/2019"|"03/06/2020"|""|"08/19/2020"|"66019-0306-01"|"False"|""|"03/11/2020"|"149"|"influenza, live, intranasal, quadrivalent"|"MED"
"349"|"66019-0307-10"|"66019030710"|"FluMist Quadrivalent"|"MedImmune, LLC"|"08/10/2020"|"04/01/2021"|""|"04/05/2021"|"66019-0307-01"|"False"|""|"04/05/2021"|"149"|"influenza, live, intranasal, quadrivalent"|"MED"
"350"|"66521-0000-01"|"66521000001"|"FLUAD"|"Novartis Vaccines and Diagnostics Limited"|"11/24/2015"|"06/30/2016"|""|"08/13/2018"|"66521-0000-11"|"False"|""|"07/09/2018"|"168"|"influenza, trivalent, adjuvanted"|"NOV"
"351"|"66521-0112-02"|"66521011202"|"Fluvirin"|"Novartis Vaccines and Diagnostics Ltd"|"08/12/1998"|"06/30/2010"|""|"05/30/2018"|"66521-0112-02"|"True"|""|"07/05/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"NOV"
"352"|"66521-0112-10"|"66521011210"|"Fluvirin"|"Novartis Vaccines and Diagnostics Ltd"|"08/12/1998"|"06/30/2010"|""|"05/30/2018"|"66521-0112-10"|"True"|""|"07/05/2018"|"141"|"Influenza, seasonal, injectable"|"NOV"
"353"|"66521-0113-02"|"66521011302"|"FLUVIRIN"|"Novartis Vaccines and Diagnostics Limited"|"08/12/1988"|"06/30/2011"|""|"05/30/2018"|"66521-0113-02"|"True"|""|"07/05/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"NOV"
"354"|"66521-0113-10"|"66521011310"|"FLUVIRIN"|"Novartis Vaccines and Diagnostics Limited"|"08/12/1988"|"06/30/2011"|""|"05/30/2018"|"66521-0113-10"|"True"|""|"07/05/2018"|"141"|"Influenza, seasonal, injectable"|"NOV"
"355"|"66521-0114-02"|"66521011402"|"FLUVIRIN"|"Novartis Vaccines and Diagnostics Limited"|"07/01/2011"|"06/30/2012"|""|"05/30/2018"|"66521-0114-02"|"True"|""|"04/23/2020"|"140"|"Influenza, seasonal, injectable, preservative free"|"NOV"
"356"|"66521-0114-10"|"66521011410"|"FLUVIRIN"|"Novartis Vaccines and Diagnostics Limited"|"07/01/2011"|"06/30/2012"|""|"05/30/2018"|"66521-0114-10"|"True"|""|"05/30/2018"|"141"|"Influenza, seasonal, injectable"|"NOV"
"357"|"66521-0115-02"|"66521011502"|"FLUVIRIN"|"Novartis Vaccines and Diagnostics Limited"|"07/20/2012"|"06/30/2013"|""|"05/30/2018"|"66521-0115-02"|"True"|"00366521115020"|"07/05/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"NOV"
"358"|"66521-0115-10"|"66521011510"|"FLUVIRIN"|"Novartis Vaccines and Diagnostics Limited"|"07/20/2012"|"06/30/2013"|""|"05/30/2018"|"66521-0115-10"|"True"|""|"07/05/2018"|"141"|"Influenza, seasonal, injectable"|"NOV"
"359"|"66521-0116-02"|"66521011602"|"Fluvirin"|"Novartis Vaccines and Diagnostics Limited"|"07/30/2013"|"06/30/2014"|""|"03/05/2018"|"66521-0116-12"|"False"|""|"11/20/2017"|"140"|"Influenza, seasonal, injectable, preservative free"|"NOV"
"360"|"66521-0116-10"|"66521011610"|"Fluvirin"|"Novartis Vaccines and Diagnostics Limited"|"07/30/2013"|"06/30/2014"|""|"12/07/2017"|"66521-0116-11"|"False"|""|"11/20/2017"|"141"|"Influenza, seasonal, injectable"|"NOV"
"361"|"66521-0117-02"|"66521011702"|"Fluvirin"|"Novartis Vaccines and Diagnostics Ltd"|"07/01/2014"|"06/30/2015"|""|"07/06/2018"|"66521-0117-12"|"False"|""|"07/05/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"NOV"
"362"|"66521-0117-10"|"66521011710"|"Fluvirin"|"Novartis Vaccines and Diagnostics Ltd"|"07/01/2014"|"06/30/2015"|""|"07/06/2018"|"66521-0117-11"|"False"|"00366521117116"|"07/05/2018"|"141"|"Influenza, seasonal, injectable"|"NOV"
"363"|"66521-0118-02"|"66521011802"|"Fluvirin"|"Novartis Vaccines and Diagnostics Limited"|"07/01/2015"|"06/30/2016"|""|"07/11/2018"|"66521-0118-12"|"False"|""|"07/09/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"NOV"
"364"|"66521-0118-10"|"66521011810"|"Fluvirin"|"Novartis Vaccines and Diagnostics Limited"|"07/01/2015"|"06/30/2016"|""|"07/11/2018"|"66521-0118-11"|"False"|""|"07/09/2018"|"141"|"Influenza, seasonal, injectable"|"NOV"
"365"|"66521-0200-02"|"66521020002"|"Influenza A (H1N1) 2009 Monovalent Vaccine"|"Novartis Vaccines and Diagnostics Ltd"|"09/15/2009"|"06/30/2010"|""|"10/15/2019"|"66521-0200-02"|"True"|""|"10/15/2019"|"127"|"Novel influenza-H1N1-09"|"NOV"
"366"|"66521-0200-10"|"66521020010"|"Influenza A (H1N1) 2009 Monovalent Vaccine"|"Novartis Vaccines and Diagnostics Ltd"|"09/15/2009"|"06/30/2010"|""|"10/15/2019"|"66521-0200-10"|"True"|""|"10/15/2019"|"126"|"Novel influenza-H1N1-09, preservative-free"|"NOV"
"367"|"69401-0000-02"|"69401000002"|"Vivotif"|"Emergent Travel Health Inc."|"03/16/1992"|""|""|"07/20/2021"|"69401-0000-01"|"False"|""|"07/20/2021"|"25"|"typhoid, oral"|"PAX"
"368"|"70460-0001-01"|"70460000101"|"Vaxchora"|"Paxvax, Inc."|""|""|""|"12/07/2017"|"70460-0002-02"|"False"|""|"07/11/2018"|"174"|"cholera, live attenuated"|"PAX"
"369"|"70460-0004-01"|"70460000401"|"Vaxchora"|"Emergent Travel Health Inc."|"09/15/2019"|""|""|"01/13/2021"|"70460-0002-02"|"False"|""|"07/11/2018"|"174"|"cholera, live attenuated"|"PAX"
"370"|"70461-0001-01"|"70461000101"|"FLUAD"|"Seqirus, Inc."|"07/01/2016"|"06/30/2017"|""|"07/12/2018"|"70461-0001-11"|"False"|""|"07/05/2018"|"168"|"influenza, trivalent, adjuvanted"|"SEQ"
"371"|"70461-0002-01"|"70461000201"|"FLUAD"|"Seqirus Inc."|"07/01/2017"|"06/30/2018"|""|"07/09/2018"|"70461-0002-11"|"False"|""|"07/09/2018"|"168"|"influenza, trivalent, adjuvanted"|"SEQ"
"372"|"70461-0018-03"|"70461001803"|"FLUAD"|"Seqirus, Inc."|"07/13/2018"|"07/31/2019"|""|"08/22/2019"|"70461-0018-04"|"False"|""|"08/15/2019"|"168"|"influenza, trivalent, adjuvanted"|"SEQ"
"373"|"70461-0019-03"|"70461001903"|"FLUAD"|"Seqirus, Inc."|"08/01/2019"|"06/30/2020"|"00370461019034"|"08/10/2020"|"70461-0019-04"|"False"|"00370461019041"|"08/17/2020"|"168"|"influenza, trivalent, adjuvanted"|"SEQ"
"374"|"70461-0020-03"|"70461002003"|"FLUAD"|"Seqirus, Inc."|"07/01/2020"|""|""|"07/20/2020"|"70461-0020-04"|"False"|""|"07/20/2020"|"168"|"influenza, trivalent, adjuvanted"|"SEQ"
"375"|"70461-0119-02"|"70461011902"|"Fluvirin"|"Seqirus, Inc."|"07/01/2016"|"06/30/2017"|""|"07/12/2018"|"70461-0119-12"|"False"|""|"05/30/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"SEQ"
"376"|"70461-0119-10"|"70461011910"|"Fluvirin"|"Seqirus, Inc."|"07/01/2016"|"06/30/2017"|""|"07/12/2018"|"70461-0119-11"|"False"|""|"05/30/2018"|"141"|"Influenza, seasonal, injectable"|"SEQ"
"377"|"70461-0120-02"|"70461012002"|"Fluvirin"|"Seqirus Inc."|"07/01/2017"|"06/30/2018"|""|"07/09/2018"|"70461-0120-12"|"False"|""|"07/09/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"SEQ"
"378"|"70461-0120-03"|"70461012003"|"FLUAD QUADRIVALENT"|"Seqirus, Inc."|"07/01/2020"|"06/30/2021"|""|"07/26/2021"|"70461-0120-04"|"False"|""|"07/26/2021"|"205"|"Influenza vaccine, quadrivalent, adjuvanted"|"SEQ"
"379"|"70461-0120-10"|"70461012010"|"Fluvirin"|"Seqirus Inc."|"07/01/2017"|"06/30/2018"|""|"07/09/2018"|"70461-0120-11"|"False"|""|"07/09/2018"|"141"|"Influenza, seasonal, injectable"|"SEQ"
"380"|"70461-0121-03"|"70461012103"|"FLUAD QUADRIVALENT"|"Seqirus, Inc."|"07/01/2021"|""|""|"07/26/2021"|"70461-0121-04"|"False"|""|"07/26/2021"|"205"|"Influenza vaccine, quadrivalent, adjuvanted"|"SEQ"
"381"|"70461-0200-01"|"70461020001"|"FLUCELVAX QUADRIVALENT"|"Seqirus, Inc."|"07/01/2016"|"06/30/2017"|""|"07/13/2018"|"70461-0200-11"|"False"|""|"07/05/2018"|"171"|"Influenza, injectable, MDCK, preservative free, quadrivalent"|"SEQ"
"382"|"70461-0201-01"|"70461020101"|"FLUCELVAX QUADRIVALENT (PREFILLED SYRINGE)"|"Seqirus, Inc."|"07/01/2017"|"06/30/2018"|""|"07/09/2018"|"70461-0201-11"|"False"|""|"07/09/2018"|"171"|"Influenza, injectable, MDCK, preservative free, quadrivalent"|"SEQ"
"383"|"70461-0301-10"|"70461030110"|"FLUCELVAX QUADRIVALENT (MULTI-DOSE VIAL)"|"Seqirus, Inc."|"07/01/2017"|"06/30/2018"|""|"07/09/2018"|"70461-0301-12"|"False"|""|"07/09/2018"|"186"|"Influenza, injectable, MDCK, quadrivalent, preservative"|"SEQ"
"384"|"70461-0318-03"|"70461031803"|"FLUCELVAX QUADRIVALENT (PREFILLED SYRINGE)"|"Seqirus, Inc."|"07/01/2018"|"07/31/2019"|""|"01/23/2020"|"70461-0318-04"|"False"|""|"08/22/2019"|"171"|"Influenza, injectable, MDCK, preservative free, quadrivalent"|"SEQ"
"385"|"70461-0319-03"|"70461031903"|"FLUCELVAX QUADRIVALENT"|"Seqirus, Inc."|"07/30/2019"|"07/31/2020"|"00370461319035"|"07/20/2020"|"70461-0319-04"|"False"|"00370461319042"|"07/20/2020"|"171"|"Influenza, injectable, MDCK, preservative free, quadrivalent"|"SEQ"
"386"|"70461-0320-03"|"70461032003"|"FLUCELVAX QUADRIVALENT"|"Seqirus Inc."|"07/02/2020"|"07/01/2021"|""|"07/20/2021"|"70461-0320-04"|"False"|""|"07/20/2021"|"171"|"Influenza, injectable, MDCK, preservative free, quadrivalent"|"SEQ"
"387"|"70461-0321-03"|"70461032103"|"FLUCELVAX QUADRIVALENT"|"Seqirus Inc."|"07/01/2021"|""|""|"07/20/2021"|"70461-0321-04"|"False"|""|"07/19/2021"|"171"|"Influenza, injectable, MDCK, preservative free, quadrivalent"|"SEQ"
"388"|"70461-0418-10"|"70461041810"|"FLUCELVAX QUADRIVALENT (MULTI-DOSE VIAL)"|"Seqirus, Inc."|"07/01/2018"|"07/31/2019"|""|"08/22/2019"|"70461-0418-11"|"False"|""|"08/22/2019"|"186"|"Influenza, injectable, MDCK, quadrivalent, preservative"|"SEQ"
"389"|"70461-0419-10"|"70461041910"|"FLUCELVAX QUADRIVALENT"|"Seqirus, Inc."|"07/30/2019"|"07/31/2020"|"00370461419100"|"07/20/2020"|"70461-0419-11"|"False"|"00370461419117"|"07/20/2020"|"186"|"Influenza, injectable, MDCK, quadrivalent, preservative"|"SEQ"
"390"|"70461-0420-10"|"70461042010"|"FLUCELVAX QUADRIVALENT"|"Seqirus Inc."|"07/02/2020"|"07/01/2021"|""|"07/20/2021"|"70461-0420-11"|"False"|""|"07/20/2021"|"186"|"Influenza, injectable, MDCK, quadrivalent, preservative"|"SEQ"
"391"|"70461-0421-10"|"70461042110"|"FLUCELVAX QUADRIVALENT"|"Seqirus Inc."|"07/02/2021"|""|""|"07/20/2021"|"70461-0421-11"|"False"|""|"07/22/2021"|"186"|"Influenza, injectable, MDCK, quadrivalent, preservative"|"SEQ"
"392"|"76420-0482-01"|"76420048201"|"Medical Provider Single Use EZ Flu Shot 2013-2014"|"MedChem Manufacturing Inc. dba Enovachem"|"05/30/2013"|"06/30/2014"|""|"07/13/2018"|"76420-0482-01"|"True"|""|"05/30/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"393"|"76420-0483-01"|"76420048301"|"Medical Provider Single Use EZ Flu Shot 2013-2014"|"MedChem Manufacturing Inc. dba Enovachem"|"05/30/2013"|"06/30/2014"|""|"07/13/2018"|"76420-0483-01"|"True"|""|"05/30/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"394"|"80631-0100-10"|"80631010010"|"NOVAVAX COVID-19 Vaccine, Adjuvanted"|"Novavax Inc."|"06/01/2021"|""|""|"05/24/2021"|"80631-0100-01"|"False"|""|"05/24/2021"|"211"|"COVID-19 vaccine, Subunit, rS-nanoparticle+Matrix-M1 Adjuvant, PF, 0.5 mL"|"NVX"
"395"|"80777-0273-98"|"80777027398"|"Moderna COVID-19 Vaccine"|"Moderna US, Inc."|"04/01/2021"|""|""|"04/12/2021"|"80777-0273-15"|"False"|""|"04/07/2021"|"207"|"COVID-19, mRNA, LNP-S, PF, 100 mcg/0.5 mL dose"|"MOD"
"396"|"80777-0273-99"|"80777027399"|"Moderna COVID-19 Vaccine"|"Moderna US, Inc."|"12/18/2020"|""|""|"04/07/2021"|"80777-0273-10"|"False"|""|"04/05/2021"|"207"|"COVID-19, mRNA, LNP-S, PF, 100 mcg/0.5 mL dose"|"MOD"
